"source_attack_id","relationship_type","target_attack_id"
"G0093","uses","S0097"
"G0112","uses","T1057"
"S1078","uses","T1140"
"S0627","uses","T1106"
"T1491.002","subtechnique-of","T1491"
"G1017","uses","T1083"
"S0170","uses","T1053.005"
"M1037","mitigates","T1572"
"S0377","uses","T1059.004"
"S0651","uses","T1102.002"
"S0378","uses","T1016"
"S1018","uses","T1055.001"
"G1032","uses","T1657"
"G0142","uses","T1566.002"
"S0028","uses","T1547.001"
"G0048","uses","T1547.001"
"S1183","uses","T1001"
"S0598","uses","T1083"
"G1043","uses","T1082"
"G1052","uses","T1585"
"S0201","uses","T1222.001"
"G0027","uses","T1068"
"S0154","uses","T1021.001"
"S0629","uses","T1106"
"G1045","uses","T1685.006"
"G0094","uses","T1585.002"
"S0367","uses","T1573.001"
"S0154","uses","T1106"
"S0363","uses","T1059.001"
"S1050","uses","T1036.005"
"M1038","mitigates","T1036.005"
"S0284","uses","T1140"
"M1040","mitigates","T1036.008"
"G0131","uses","T1135"
"G0047","uses","T1491.001"
"S1114","uses","T1090"
"G0032","uses","T1202"
"S1066","uses","T1140"
"S1210","uses","T1041"
"S0477","uses","T1059.005"
"M1047","mitigates","T1574.005"
"S0192","uses","T1113"
"S0517","uses","T1546.011"
"G0081","uses","T1070.004"
"S1125","uses","T1529"
"S0498","uses","T1005"
"S0439","uses","T1547.009"
"S0456","uses","T1095"
"S0488","uses","T1003.002"
"G0094","uses","T1566"
"S1226","uses","T1033"
"T1556.004","subtechnique-of","T1556"
"S9037","uses","T1684.001"
"S0192","uses","T1552.001"
"S0018","uses","T1007"
"G1006","uses","S0002"
"S0199","uses","T1113"
"T1597.001","subtechnique-of","T1597"
"S0367","uses","T1552.001"
"G0067","uses","T1120"
"G0032","uses","S0238"
"S1123","uses","T1573.002"
"G1016","uses","T1587.001"
"S0666","uses","T1140"
"G1015","uses","T1553.002"
"G1006","uses","T1027.003"
"S0562","uses","T1057"
"G0047","uses","T1583.003"
"S0683","uses","T1613"
"S0414","uses","T1033"
"S1239","uses","T1480.001"
"S0584","uses","T1070.004"
"S1242","uses","T1134"
"S0428","uses","T1071.002"
"S1044","uses","T1543.003"
"G0090","uses","S9030"
"S1218","uses","T1059.006"
"G0093","uses","S0106"
"G1030","uses","S0590"
"S0262","uses","T1021.001"
