setup,dataset,method,seed,pred_path,metrics_path,f1,precision,recall,n_sentences,gen_time_s,total_time_s,wall_time_s,sharded,num_shards
gteqwen_llama,TRAM2,RAG,2,/home/azureuser/ttp_table9_method_replication/outputs/predictions/TRAM2_RAG_seed2_setup1_gteqwen_llama_seeds12_20260528_084044_s2.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/TRAM2_RAG_seed2_setup1_gteqwen_llama_seeds12_20260528_084044_s2.json,0.535222753001099,0.4112184856587224,0.8927167377214815,3820,4617.719500541687,5079.412576913834,,False,1
gteqwen_llama,TRAM2,RAG+FSP,0,/home/azureuser/ttp_table9_method_replication/outputs/predictions/TRAM2_RAG+FSP_seed0_setup1_gteqwen_llama_seed0_20260527_085414.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/TRAM2_RAG+FSP_seed0_setup1_gteqwen_llama_seed0_20260527_085414.json,0.5321083508921692,0.433141809891921,0.7671082743948019,3820,4105.326115608215,4565.111090898514,,False,1
gteqwen_llama,TRAM2,RAG+FSP,1,/home/azureuser/ttp_table9_method_replication/outputs/predictions/TRAM2_RAG+FSP_seed1_setup1_gteqwen_llama_seeds12_20260528_084044_s1.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/TRAM2_RAG+FSP_seed1_setup1_gteqwen_llama_seeds12_20260528_084044_s1.json,0.5321083508921692,0.433141809891921,0.7671082743948019,3820,4102.393065690994,4581.756940364838,,False,1
gteqwen_llama,TRAM2,RAG+FSP,2,/home/azureuser/ttp_table9_method_replication/outputs/predictions/TRAM2_RAG+FSP_seed2_setup1_gteqwen_llama_seeds12_20260528_084044_s2.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/TRAM2_RAG+FSP_seed2_setup1_gteqwen_llama_seeds12_20260528_084044_s2.json,0.5321083508921692,0.433141809891921,0.7671082743948019,3820,4133.576329469681,4607.013689041138,,False,1
gteqwen_mistral,AnnoCTR,RAG,0,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG_seed0_setup3_gteqwen_mistral_seed0_20260526_074547.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG_seed0_setup3_gteqwen_mistral_seed0_20260526_074547.json,0.4099829118307079,0.3513006063690648,0.6009270678581824,1483,573.3792946338654,758.3761622905731,,False,1
gteqwen_mistral,AnnoCTR,RAG,1,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG_seed1_setup3_gteqwen_mistral_seed1_20260526_084550.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG_seed1_setup3_gteqwen_mistral_seed1_20260526_084550.json,0.4099829118307079,0.3513006063690648,0.6009270678581824,1483,852.7930886745453,1043.7188560962677,,False,1
gteqwen_mistral,AnnoCTR,RAG,2,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG_seed2_setup3_gteqwen_mistral_seed2_20260526_084821.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG_seed2_setup3_gteqwen_mistral_seed2_20260526_084821.json,0.4099829118307079,0.3513006063690648,0.6009270678581824,1483,920.2072973251343,1103.9751245975494,,False,1
gteqwen_mistral,AnnoCTR,RAG+FSP,0,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG+FSP_seed0_setup3_gteqwen_mistral_seed0_20260526_074547.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG+FSP_seed0_setup3_gteqwen_mistral_seed0_20260526_074547.json,0.40313466740564485,0.3505275969593329,0.5880830233577912,1483,920.4933617115021,1089.9276225566864,,False,1
gteqwen_mistral,AnnoCTR,RAG+FSP,1,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG+FSP_seed1_setup3_gteqwen_mistral_seed1_20260526_084550.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG+FSP_seed1_setup3_gteqwen_mistral_seed1_20260526_084550.json,0.40313466740564485,0.3505275969593329,0.5880830233577912,1483,1519.8202929496765,1693.216762304306,,False,1
gteqwen_mistral,AnnoCTR,RAG+FSP,2,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG+FSP_seed2_setup3_gteqwen_mistral_seed2_20260526_084821.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG+FSP_seed2_setup3_gteqwen_mistral_seed2_20260526_084821.json,0.40313466740564485,0.3505275969593329,0.5880830233577912,1483,1453.8570342063904,1624.6270732879639,,False,1
